LineStarId,Name,Position,Team,Salary,Projected,Scored,IsOverridden,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,DFS_ID,Vegas,VegasML,VegasTotals,VegasImplied,Depth
516198,Jaxon Smith-Njigba,WR,SEA,12000,19.69,0,0,23,84,29.85,11.45,1,81,60.9,23.71,14,80,11,100,24.4,Marshon Lattimore: WAS,1214087,-3,-148,48.5,25.8,1.0
516217,Jayden Daniels,QB,WAS,11600,19.84,0,0,14,32,28.83,13.71,1,83,77.6,19.91,10,87,6,100,19.9,vs SEA,1161228,3,124,48.5,22.8,1.0
516246,Deebo Samuel Sr.,WR,WAS,9600,15.35,0,0,60,84,22.08,5.38,1,66,46.1,14.87,11,43,16,100,14.0,Devon Witherspoon: SEA,835749,3,124,48.5,22.8,1.0
516251,Kenneth Walker III,RB,SEA,7600,12.35,0,0,23,32,16.59,5.79,1,77,12.0,11.0,25,29,5,100,11.2,@WAS,1164402,-3,-148,48.5,25.8,1.0
516255,Sam Darnold,QB,SEA,10600,17.54,0,0,23,32,24.78,9.09,1,82,76.2,17.12,8,70,4,100,17.0,@WAS,880026,-3,-148,48.5,25.8,1.0
516271,Jacory Croskey-Merritt,RB,WAS,7400,9.24,0,0,9,32,18.67,0.88,1,49,18.6,10.56,15,18,-3,100,9.8,vs SEA,1191186,3,124,48.5,22.8,1.0
516278,Terry McLaurin,WR,WAS,9200,0.0,0,0,22,32,0.0,0.0,4,0,0.0,0.0,0,0,0,100,9.8,vs SEA,836116,3,124,48.5,22.8,
516282,Marcus Mariota,QB,WAS,10000,0.0,0,0,14,32,0.0,0.0,2,0,0.0,0.0,0,0,0,100,14.2,vs SEA,607843,3,124,48.5,22.8,
516285,Zach Charbonnet,RB,SEA,7000,9.76,0,0,23,32,14.83,4.53,1,71,16.0,10.2,15,24,0,100,10.0,@WAS,1164530,-3,-148,48.5,25.8,2.0
516306,Chris Rodriguez Jr.,RB,WAS,2800,2.47,0,0,9,32,6.28,0.0,1,47,0.0,1.48,0,0,-5,100,3.0,vs SEA,1113403,3,124,48.5,22.8,3.0
516319,Cooper Kupp,WR,SEA,6600,0.0,0,0,51,84,0.0,0.0,2,0,0.0,0.8,0,0,0,100,8.3,@WAS,698227,-3,-148,48.5,25.8,
516343,Jeremy McNichols,RB,WAS,4400,4.37,0,0,9,32,9.74,0.66,1,52,7.5,5.87,12,9,-2,100,5.7,vs SEA,837594,3,124,48.5,22.8,2.0
516344,Luke McCaffrey,WR,WAS,5400,7.2,0,0,55,84,10.1,0.16,1,49,5.1,6.37,25,11,14,100,6.4,Josh Jobe: SEA,1164846,3,124,48.5,22.8,3.0
516360,Zach Ertz,TE,WAS,6200,10.75,0,0,14,32,18.37,4.77,1,76,45.8,10.73,5,34,2,100,9.7,vs SEA,503177,3,124,48.5,22.8,1.0
516364,Josh Johnson,QB,WAS,6000,0.0,0,0,14,32,0.0,0.0,2,0,0.0,0.0,0,0,0,100,0.0,vs SEA,273278,3,124,48.5,22.8,
516365,Sam Hartman,QB,WAS,6000,0.0,0,0,14,32,0.0,0.0,4,0,0.0,0.0,0,0,0,100,0.0,vs SEA,1109711,3,124,48.5,22.8,
516366,Drew Lock,QB,SEA,6000,0.0,0,0,23,32,0.0,0.0,2,0,0.0,0.0,0,0,0,100,0.5,@WAS,882345,-3,-148,48.5,25.8,
516367,Jalen Milroe,QB,SEA,6000,0.0,0,0,23,32,0.0,0.0,2,0,0.0,0.0,0,0,0,100,-0.2,@WAS,1290102,-3,-148,48.5,25.8,
516426,Austin Ekeler,RB,WAS,200,0.0,0,0,9,32,0.0,0.0,4,0,0.0,0.0,0,0,0,100,6.6,vs SEA,790004,3,124,48.5,22.8,
516427,Donovan Edwards,RB,WAS,200,0.0,0,0,9,32,0.0,0.0,4,0,0.0,0.0,0,0,0,100,0.0,vs SEA,1287566,3,124,48.5,22.8,
516428,Chase Edmonds,RB,WAS,200,0.0,0,0,9,32,0.0,0.0,4,0,0.0,0.0,0,0,0,100,0.0,vs SEA,832900,3,124,48.5,22.8,
516429,George Holani,RB,SEA,400,0.52,0,0,23,32,3.49,0.0,1,34,0.0,0.35,0,0,0,100,0.7,@WAS,1180625,-3,-148,48.5,25.8,3.0
516430,Kenny McIntosh,RB,SEA,200,0.0,0,0,23,32,0.0,0.0,4,0,0.0,0.0,0,0,0,100,0.0,@WAS,1172050,-3,-148,48.5,25.8,
516431,Brady Russell,RB,SEA,200,0.22,0,0,23,32,0.236918571714189,0.0,1,0,0.0,0.14,0,0,2,100,0.0,@WAS,1064955,-3,-148,48.5,25.8,4.0
516432,Robbie Ouzts,RB,SEA,200,0.0,0,0,23,32,0.0,0.0,2,0,0.0,0.24,0,0,0,100,0.0,@WAS,1285958,-3,-148,48.5,25.8,
516536,Jaylin Lane,WR,WAS,3800,3.99,0,0,22,32,6.66,1.31,1,70,8.8,5.26,7,10,13,100,4.0,vs SEA,1214689,3,124,48.5,22.8,4.0
516547,Tory Horton,WR,SEA,3200,8.27,0,0,13,84,13.37,0.0,1,37,22.4,8.61,4,14,10,100,6.3,Trey Amos: WAS,1223393,-3,-148,48.5,25.8,2.0
516930,Chris Moore,WR,WAS,3400,4.13,0,0,28,84,8.26,0.04,1,63,1.6,5.49,30,8,9,100,4.5,Riq Woolen: SEA,606551,3,124,48.5,22.8,2.0
516946,Robbie Chosen,WR,WAS,2000,0.0,0,0,22,32,0.0,0.0,4,0,0.0,0.0,0,0,0,100,7.6,vs SEA,608360,3,124,48.5,22.8,
516967,Noah Brown,WR,WAS,200,0.0,0,0,22,32,0.0,0.0,4,0,0.0,0.0,0,0,0,100,3.3,vs SEA,836103,3,124,48.5,22.8,
516968,Treylon Burks,WR,WAS,200,0.0,0,0,22,32,0.0,0.0,2,0,0.0,1.52,0,0,0,100,0.0,vs SEA,1172024,3,124,48.5,22.8,
516969,Jacoby Jones,WR,WAS,200,0.0,0,0,22,32,0.0,0.0,2,0,0.0,0.0,0,0,0,100,0.0,vs SEA,1380476,3,124,48.5,22.8,
516970,Ja'Corey Brooks,WR,WAS,800,0.0,0,0,22,32,0.0,0.0,4,0,0.0,0.0,0,0,0,100,0.0,vs SEA,1290100,3,124,48.5,22.8,
516971,Jake Bobo,WR,SEA,1000,0.0,0,0,23,32,0.0,0.0,4,0,0.0,0.0,0,0,0,100,0.7,@WAS,1121050,-3,-148,48.5,25.8,
516972,Dareke Young,WR,SEA,200,0.0,0,0,23,32,0.0,0.0,4,0,0.0,0.0,0,0,0,100,1.1,@WAS,1384869,-3,-148,48.5,25.8,
516973,Courtney Jackson,WR,SEA,200,0.0,0,0,23,32,0.0,0.0,4,0,0.0,0.0,0,0,0,100,0.0,@WAS,1164141,-3,-148,48.5,25.8,
516974,Ricky White III,WR,SEA,200,1.86,0,0,23,32,2.04187025276714,0.0,1,0,8.7,1.31,12,2,8,100,0.0,@WAS,1229846,-3,-148,48.5,25.8,4.0
516975,Cody White,WR,SEA,200,2.9,0,0,23,32,3.87,0.0,1,0,15.4,2.41,12,3,8,100,0.0,@WAS,1057484,-3,-148,48.5,25.8,3.0
516976,Tyrone Broden,WR,SEA,200,0.0,0,0,23,32,0.0,0.0,4,0,0.0,0.0,0,0,0,100,0.0,@WAS,1181894,-3,-148,48.5,25.8,
517110,AJ Barner,TE,SEA,3000,9.44,0,0,23,32,15.81,1.99,1,62,61.2,8.06,2,25,10,100,9.1,@WAS,1229503,-3,-148,48.5,25.8,1.0
517117,Seahawks,DST,SEA,4000,8.71,0,0,14,32,11.4,8.2,1,67,25.9,6.63,4,25,1,100,9.4,@WAS,361,-3,-148,48.5,25.8,1.0
517127,Elijah Arroyo,TE,SEA,2400,3.92,0,0,23,32,5.99,0.87,1,51,17.9,6.23,2,10,8,100,3.4,@WAS,1286840,-3,-148,48.5,25.8,2.0
517130,John Bates,TE,WAS,1600,1.4,0,0,14,32,2.63,0.0,1,39,0.0,1.34,0,0,-3,100,1.1,vs SEA,944038,3,124,48.5,22.8,3.0
517134,Commanders,DST,WAS,3600,5.62,0,0,28,32,11.4,4.49,1,60,12.4,5.41,7,14,-1,100,5.9,vs SEA,363,3,124,48.5,22.8,1.0
517147,Ben Sinnott,TE,WAS,600,1.18,0,0,14,32,2.3,0.0,1,15,0.0,0.6,0,0,-1,100,0.6,vs SEA,1228920,3,124,48.5,22.8,2.0
517148,Colson Yankoff,TE,WAS,200,0.0,0,0,14,32,0.0,0.0,4,0,0.0,0.0,0,0,0,100,0.0,vs SEA,1107232,3,124,48.5,22.8,
517149,Tyree Jackson,TE,WAS,200,0.0,0,0,14,32,0.0,0.0,4,0,0.0,0.0,0,0,0,100,0.0,vs SEA,881048,3,124,48.5,22.8,
517150,Lawrence Cager,TE,WAS,200,0.0,0,0,14,32,0.0,0.0,4,0,0.0,0.0,0,0,0,100,0.0,vs SEA,880123,3,124,48.5,22.8,
517151,Tyler Ott,TE,WAS,200,0.0,0,0,0,0,0.0,0.0,2,0,0.0,0.0,0,0,0,100,0.0,vs SEA,553024,3,124,48.5,22.8,
517152,Eric Saubert,TE,SEA,200,0.0,0,0,23,32,0.0,0.0,4,0,0.0,0.0,0,0,0,100,0.3,@WAS,694931,-3,-148,48.5,25.8,
517153,Nick Kallerup,TE,SEA,200,0.0,0,0,23,32,0.0,0.0,2,0,0.0,0.38,0,0,0,100,0.0,@WAS,1164736,-3,-148,48.5,25.8,
518130,Velus Jones Jr.,RB,SEA,200,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,@WAS,919304,-3,-148,48.5,25.8,
518131,Jason Myers,K,SEA,5000,11.49,0,0,27,32,12.92,6.28,1,83,41.0,7.6,4,33,1,100,10.4,@WAS,518088,-3,-148,48.5,25.8,1.0
518132,Matt Gay,K,WAS,4800,8.76,0,0,22,32,14.3,4.3,1,76,21.6,7.9,7,22,0,100,8.6,vs SEA,1068998,3,124,48.5,22.8,1.0
